t;c.x;c.y;c.z;t.x;t.y;t.z;n.x;n.y;n.z;b.x;b.y;b.z
1.97;-6.975296786;8.663691312;0;0.275620272;-0.961266594;0;0.961266594;0.275620272;0;0;0;1
1.98;-6.972540079;8.65407879;0;0.275720961;-0.961237719;0;0.961237719;0.275720961;0;0;0;1
1.99;-6.969782366;8.644466557;0;0.275821756;-0.961208801;0;0.961208801;0.275821756;0;0;0;1
2;-6.967023644;8.634854614;0;0.275922658;-0.961179841;0;0.961179841;0.275922658;0;0;0;1
2.01;-6.964263912;8.625242961;0;0.27602367;-0.961150838;0;0.961150838;0.27602367;0;0;0;1
2.02;-6.96150317;8.615631598;0;0.27612479;-0.961121793;0;0.961121793;0.27612479;0;0;0;1
2.03;-6.958741416;8.606020525;0;0.276226016;-0.961092705;0;0.961092705;0.276226016;0;0;0;1
2.04;-6.95597865;8.596409744;0;0.276327351;-0.961063575;0;0.961063575;0.276327351;0;0;0;1
2.05;-6.953214869;8.586799254;0;0.276428796;-0.961034402;0;0.961034402;0.276428796;0;0;0;1
2.06;-6.950450073;8.577189056;0;0.276530349;-0.961005185;0;0.961005185;0.276530349;0;0;0;1
2.07;-6.947684262;8.56757915;0;0.27663201;-0.960975926;0;0.960975926;0.27663201;0;0;0;1
2.08;-6.944917433;8.557969537;0;0.27673378;-0.960946624;0;0.960946624;0.27673378;0;0;0;1
2.09;-6.942149586;8.548360218;0;0.27683566;-0.960917279;0;0.960917279;0.27683566;0;0;0;1
2.1;-6.939380719;8.538751192;0;0.276937651;-0.96088789;0;0.96088789;0.276937651;0;0;0;1
2.11;-6.936610832;8.52914246;0;0.27703975;-0.960858458;0;0.960858458;0.27703975;0;0;0;1
2.12;-6.933839924;8.519534023;0;0.277141958;-0.960828983;0;0.960828983;0.277141958;0;0;0;1
2.13;-6.931067993;8.509925881;0;0.277244277;-0.960799465;0;0.960799465;0.277244277;0;0;0;1
2.14;-6.928295038;8.500318034;0;0.277346707;-0.960769902;0;0.960769902;0.277346707;0;0;0;1
2.15;-6.925521058;8.490710483;0;0.277449247;-0.960740295;0;0.960740295;0.277449247;0;0;0;1
2.16;-6.922746053;8.481103228;0;0.277551897;-0.960710645;0;0.960710645;0.277551897;0;0;0;1
2.17;-6.91997002;8.47149627;0;0.277654657;-0.960680952;0;0.960680952;0.277654657;0;0;0;1
2.18;-6.917192959;8.461889609;0;0.277757531;-0.960651214;0;0.960651214;0.277757531;0;0;0;1
2.19;-6.914414869;8.452283246;0;0.277860515;-0.960621431;0;0.960621431;0.277860515;0;0;0;1
2.2;-6.911635749;8.442677181;0;0.27796361;-0.960591605;0;0.960591605;0.27796361;0;0;0;1
2.21;-6.908855597;8.433071414;0;0.278066816;-0.960561735;0;0.960561735;0.278066816;0;0;0;1
2.22;-6.906074412;8.423465946;0;0.278170134;-0.96053182;0;0.96053182;0.278170134;0;0;0;1
2.23;-6.903292194;8.413860778;0;0.278273565;-0.96050186;0;0.96050186;0.278273565;0;0;0;1
2.24;-6.90050894;8.404255909;0;0.278377108;-0.960471856;0;0.960471856;0.278377108;0;0;0;1
2.25;-6.897724651;8.394651341;0;0.278480763;-0.960441807;0;0.960441807;0.278480763;0;0;0;1
2.26;-6.894939325;8.385047073;0;0.27858453;-0.960411714;0;0.960411714;0.27858453;0;0;0;1
2.27;-6.89215296;8.375443106;0;0.278688411;-0.960381575;0;0.960381575;0.278688411;0;0;0;1
2.28;-6.889365556;8.365839442;0;0.278792405;-0.960351391;0;0.960351391;0.278792405;0;0;0;1
2.29;-6.886577112;8.356236079;0;0.278896512;-0.960321163;0;0.960321163;0.278896512;0;0;0;1
2.3;-6.883787626;8.346633018;0;0.279000732;-0.960290889;0;0.960290889;0.279000732;0;0;0;1
2.31;-6.880997097;8.337030261;0;0.279105065;-0.96026057;0;0.96026057;0.279105065;0;0;0;1
2.32;-6.878205524;8.327427807;0;0.279209514;-0.960230205;0;0.960230205;0.279209514;0;0;0;1
2.33;-6.875412906;8.317825657;0;0.279314076;-0.960199795;0;0.960199795;0.279314076;0;0;0;1
2.34;-6.872619242;8.308223811;0;0.279418752;-0.96016934;0;0.96016934;0.279418752;0;0;0;1
2.35;-6.869824531;8.29862227;0;0.279523542;-0.960138839;0;0.960138839;0.279523542;0;0;0;1
2.36;-6.867028771;8.289021035;0;0.279628446;-0.960108292;0;0.960108292;0.279628446;0;0;0;1
2.37;-6.864231961;8.279420105;0;0.279733467;-0.960077699;0;0.960077699;0.279733467;0;0;0;1
2.38;-6.861434101;8.269819481;0;0.279838603;-0.960047059;0;0.960047059;0.279838603;0;0;0;1
2.39;-6.858635189;8.260219164;0;0.279943853;-0.960016374;0;0.960016374;0.279943853;0;0;0;1
